# SiO2 deposited by plasma-assisted reactive magnetron sputtering on a Buhler Leybold Optics HELIOS 800, Institut Fresnel, March 2026 campaign. Optical constants determined from the relative transmittance of the single-layer witnesses and published with Volet 1 (Optics Continuum). sigma_n is the half-width of the published uncertainty envelope. Beyond the last interference extremum, near 4840 nm, the index is no longer constrained by the fringe positions; see valid_range_nm in the study files. Never adjusted.
Wavelength_nm,n,k,sigma_n
4450,1.4175,0.000682,0.0063
4460,1.4173,0.000684,0.0063
4470,1.4172,0.000686,0.00625
4480,1.4171,0.000688,0.0063
4490,1.4169,0.00069,0.00625
4500,1.4168,0.000691,0.0063
4510,1.4166,0.000693,0.00625
4520,1.4165,0.000695,0.00625
4530,1.4163,0.000697,0.00625
4540,1.4162,0.000699,0.00625
4550,1.4161,0.0007,0.00625
4560,1.4159,0.000702,0.00625
4570,1.4158,0.000704,0.0062
4580,1.4156,0.000706,0.00625
4590,1.4155,0.000707,0.0062
4600,1.4154,0.000709,0.0062
4610,1.4152,0.000711,0.00625
4620,1.4151,0.000713,0.0062
4630,1.4149,0.000714,0.00625
4640,1.4148,0.000716,0.0062
4650,1.4147,0.000718,0.0062
4660,1.4145,0.00072,0.0062
4670,1.4144,0.000721,0.0062
4680,1.4143,0.000723,0.00615
4690,1.4141,0.000725,0.0062
4700,1.414,0.000727,0.0062
4710,1.4139,0.000728,0.00615
4720,1.4137,0.00073,0.0062
4730,1.4136,0.000732,0.00615
4740,1.4134,0.000734,0.00615
4750,1.4133,0.000735,0.00615
4760,1.4132,0.000737,0.00615
4770,1.413,0.000739,0.00615
4780,1.4129,0.000741,0.0061
4790,1.4128,0.000742,0.00615
4800,1.4127,0.000744,0.00615
4810,1.4125,0.000746,0.0061
4820,1.4124,0.000747,0.00615
4830,1.4123,0.000749,0.00615
4840,1.4121,0.000751,0.0061
4850,1.412,0.000753,0.0061
4860,1.4119,0.000754,0.00615
4870,1.4117,0.000756,0.0061
4880,1.4116,0.000758,0.0061
4890,1.4115,0.000759,0.0061
4900,1.4113,0.000761,0.00615
4910,1.4112,0.000763,0.0061
4920,1.4111,0.000764,0.0061
4930,1.411,0.000766,0.0061
4940,1.4108,0.000768,0.0061
4950,1.4107,0.000769,0.0061
4960,1.4106,0.000771,0.0061
4970,1.4105,0.000773,0.0061
5250,1.407,0.00078,
