# Nb2O5 deposited by plasma-assisted reactive magnetron sputtering on a Buhler Leybold Optics HELIOS 800, Institut Fresnel, March 2026 campaign. Optical constants determined from the relative transmittance of the reference single layers and published with Volet 1 (Optics Continuum). sigma_n is the half-width of the published uncertainty envelope. Beyond the last interference extremum, near 4840 nm, the index is no longer constrained by the fringe positions; see valid_range_nm in the study files. Never adjusted.
Wavelength_nm,n,k,sigma_n
4660,2.1081,0.00114,0.002
4670,2.1075,0.00115,0.00195
4680,2.1069,0.00115,0.00195
4690,2.1063,0.00115,0.00195
4700,2.1057,0.00116,0.0019
4710,2.1051,0.00116,0.00185
4720,2.1045,0.00116,0.0018
4730,2.104,0.00116,0.0018
4740,2.1034,0.00117,0.00175
4750,2.1028,0.00117,0.00175
4760,2.1022,0.00117,0.0017
4770,2.1016,0.00117,0.00165
4780,2.101,0.00118,0.0016
4790,2.1004,0.00118,0.0016
4800,2.0998,0.00118,0.0016
4810,2.0992,0.00118,0.00155
4820,2.0987,0.00119,0.0015
4830,2.0981,0.00119,0.00145
4840,2.0975,0.00119,0.00145
4850,2.0969,0.00119,0.0014
4860,2.0963,0.0012,0.0014
4870,2.0957,0.0012,0.00135
4880,2.0951,0.0012,0.0013
4890,2.0945,0.0012,0.00125
4900,2.0939,0.00121,0.00125
4910,2.0934,0.00121,0.0012
4920,2.0928,0.00121,0.0012
4930,2.0922,0.00121,0.00115
4940,2.0916,0.00121,0.0011
4950,2.091,0.00122,0.00105
4960,2.0904,0.00122,0.00105
4970,2.0898,0.00122,0.001
4980,2.0893,0.00122,0.001
4990,2.0887,0.00123,0.00095
5000,2.0881,0.00123,0.00095
5010,2.0875,0.00123,0.00085
5020,2.0869,0.00123,0.00085
5030,2.0863,0.00123,0.0008
5040,2.0857,0.00124,0.0008
5050,2.0852,0.00124,0.00075
5060,2.0846,0.00124,0.00075
5070,2.084,0.00124,0.0007
5080,2.0834,0.00125,0.00065
5090,2.0828,0.00125,0.0006
5100,2.0822,0.00125,0.0006
5110,2.0817,0.00125,0.00055
5120,2.0811,0.00125,0.0005
5130,2.0805,0.00126,0.0005
5140,2.0799,0.00126,0.00045
5150,2.0793,0.00126,0.00045
5160,2.0787,0.00126,0.00045
5170,2.0782,0.00126,0.0004
5180,2.0776,0.00127,0.00035
5190,2.077,0.00127,0.00035
5250,2.076,0.00127,0.00035
