# Seventeen-layer 50/50 beam splitter, run 260317-035, on double-side polished silicon. Reflectance at 45 degrees in s and p. R_a is the half-sum, which is what an unpolarized measurement returns and what this study inverts; it is rigorously invariant under a symmetric mixing of the two channels.
Wavelength_nm,R_s_pct,R_p_pct,R_a_pct
3664.98,6.33555341,10.98323547,8.659394439
3670.06,6.708655935,11.50487575,9.106765843
3674.91,6.838445917,11.66432212,9.251384021
3679.99,7.290418935,12.2480362,9.769227569
3685.06,7.590101714,12.82109643,10.20559907
3689.92,7.93196763,13.31097762,10.62147262
3695,7.903385799,13.83193872,10.86766226
3700.08,8.286702722,14.48065503,11.38367888
3704.95,8.709207958,14.74064469,11.72492632
3710.04,9.282912662,15.2541854,12.26854903
3714.92,9.520868918,15.78776818,12.65431855
3720.03,10.10007812,16.16396958,13.13202385
3724.92,10.34692003,16.70328532,13.52510268
3730.03,10.61434327,17.22730489,13.92082408
3734.93,10.86419686,17.69388519,14.27904102
3740.06,11.64266094,17.98654095,14.81460094
3744.97,11.44172842,18.70375371,15.07274107
3750.1,12.1230828,18.96169199,15.5423874
3755.01,12.34946919,19.81336226,16.08141573
3759.93,13.00443486,19.79456347,16.39949916
3765.06,13.43871108,20.3844962,16.91160364
3769.98,13.70257671,20.89495076,17.29876373
3775.11,14.11921986,21.00328215,17.561251
3780.02,14.69522092,21.85492996,18.27507544
3784.92,14.79279834,22.31476169,18.55378001
3790.04,15.86337866,22.61675809,19.24006838
3794.93,16.29176619,23.20887819,19.75032219
3800.04,16.72961791,23.49388659,20.11175225
3804.92,17.07618738,23.76829034,20.42223886
3810.01,17.83102795,24.25627827,21.04365311
3815.1,18.2586191,24.71742866,21.48802388
3819.96,18.96902028,24.86515012,21.9170852
3825.03,20.14210782,25.33300888,22.73755835
3830.1,20.61742439,25.99906634,23.30824537
3834.94,21.01225098,26.40672068,23.70948583
3840,21.87884843,26.315084,24.09696622
3845.06,22.48992443,27.04527919,24.76760181
3850.11,23.47891225,27.29759932,25.38825579
3854.95,24.14344081,27.62926337,25.88635209
3860,25.05954283,28.03634892,26.54794587
3865.06,25.64738389,28.21281436,26.93009913
3870.11,26.7863336,28.67423683,27.73028522
3874.95,27.73138843,29.09406355,28.41272599
3880.02,28.21308689,29.18369375,28.69839032
3885.09,29.70063351,29.18579505,29.44321428
3889.94,30.15186469,29.45528243,29.80357356
3895.03,31.30979679,29.91532412,30.61256046
3900.11,32.39505293,30.4092226,31.40213776
3904.99,32.88117151,30.64807981,31.76462566
3910.08,33.87969316,30.74905367,32.31437341
