# Single-layer Nb2O5 witness on double-side polished sapphire, same deposition campaign as the components, less than one week apart, no target change or chamber reconditioning in between. Transmittance relative to the bare substrate at normal incidence, as a fraction. Reproduced from the Volet 1 deposit.
Wavelength_nm,Trel
4109.93,0.930518
4120.11,0.92767
4130.07,0.924488
4140.01,0.924704
4149.93,0.920826
4160.05,0.918767
4169.91,0.914522
4179.97,0.914853
4190.01,0.91102
4200.03,0.910356
4210.05,0.907978
4220.07,0.898476
4230.1,0.899034
4239.93,0.891546
4250.01,0.891633
4260.1,0.891602
4270,0.889308
4279.91,0.893024
4290.05,0.881355
4299.96,0.872787
4310.09,0.888372
4319.97,0.895312
4330.06,0.874548
4340.11,0.886362
4349.92,0.880456
4359.92,0.877778
4369.9,0.875683
4380.08,0.875947
4390.05,0.876199
4400.03,0.873054
4410.02,0.873326
4420.04,0.869717
4430.07,0.866971
4439.91,0.866087
4449.99,0.866393
4460.07,0.864353
4469.94,0.862166
4480.03,0.85868
4490.09,0.858974
4499.92,0.856902
4509.93,0.859468
4519.92,0.854109
4530.1,0.855525
4540.04,0.857099
4549.96,0.855335
4560.09,0.852065
4570.02,0.850754
4579.95,0.8493
4589.9,0.848692
4600.1,0.848339
4610.1,0.849467
4619.9,0.849025
4629.93,0.847329
4639.97,0.849753
4650,0.842688
4660.02,0.847469
4670.02,0.847262
4680,0.842614
4689.94,0.844515
4700.08,0.841931
4709.97,0.841739
4720.06,0.846156
4729.93,0.840536
4740.01,0.844782
4750.1,0.841264
4760,0.835732
4769.91,0.84523
4780.07,0.840183
4790.03,0.843016
4800,0.841484
4809.99,0.840603
4819.97,0.835463
4829.94,0.851462
